"id";"name";"num_affiliation";"primary_color";"secondary_color";"city"
220;"UNION SPORTIVE VEYNES SERRES FOOTBALL";500387;"#092669";"#ffffff";""
221;"O. DE DARNETAL";500390;"#FFD41C";"#000000";""
222;"ST. PONTIVYEN";500392;"#000000";"";""
223;"S.C. SCHILTIGHEIM";500398;"#006400";"";""
224;"J. OUVRIERE DU CREUSOT";500402;"#092669";"";""
225;"GAGNY U.S. MUNICIPALE";500403;"#FFD41C";"#000000";""
226;"U.S. BERLAIMONT";500404;"#dc143c";"#092669";""
227;"R.C. LYON";500406;"#092669";"#000000";""
228;"U.S. VILLERS COTTERETS";500407;"#dc143c";"";""
229;"U.S. MOUY";500408;"#006400";"#dc143c";""
230;"STE S. ZILLISHEIM";500409;"#FF6A00 ";"#000000";""
231;"ESCAUDAIN U.S.F.";500410;"#dc143c";"";""
232;"POISSY A.S.";500411;"#FFD41C";"";""
233;"F.C. 1920 WISSEMBOURG";500413;"#FFD41C";"#000000";""
234;"CRABE S. MARSEILLANAIS";500414;"#092669";"#ffffff";""
235;"E.S. MOUVALLOISE";500415;"#ffffff";"#000000";""
236;"CHATOU A.S.";500416;"#FFD41C";"#092669";""
237;"A.S. ARDENTES";500417;"#092669";"#ffffff";""
238;"F.A. ILLKIRCH GRAFFENSTADEN";500418;"#ffffff";"#000000";""
239;"R.C. GRASSE";500420;"#dc143c";"#092669";""
240;"CHEMINOTS S. DE CHALINDREY";500421;"#dc143c";"";""
241;"F.C. WALHEIM";500422;"#092669";"";""
242;"U.S. TENAYSIENNE";500423;"#FFD41C";"#dc143c";""
243;"U.S. ST POL S/TERNOISE";500425;"#092669";"";""
244;"U.S. LESQUIN";500426;"#006400";"#ffffff";""
245;"ST. MARSEILLAIS UNI.C.";500428;"#696969";"#000000";""
246;"COTE CHAUDE SP. ST ETIENNE";500430;"#ffffff";"";""
247;"OMNISPORTS  FROUARD POMPEY";500431;"#dc143c";"#092669";""
248;"F.C. SOULTZ 1919";500432;"#dc143c";"";""
249;"U.S. COLOMBIER FONTAINE";500436;"#092669";"";""
250;"ECLAIR S. CRESPIN";500437;"#092669";"#FFD41C";""
251;"J. VILLENAVAISE";500440;"#000000";"#092669";""
252;"L  AUXILOISE";500442;"#dc143c";"#000000";""
253;"CANY F.C.";500445;"#006400";"#ffffff";""
254;"SAINT MEDARD S. C.";500446;"#092669";"#000000";""
255;"S.C. VILLERS LE LAC";500447;"#092669";"#FFD41C";""
256;"U.S. RENAZE-SAINT SATURNIN DU LIMET";500449;"#000000";"#FFD41C";""
257;"AV. DE MATHA";500451;"#000000";"#ffffff";""
258;"U.S. LUCOISE";500452;"#dc143c";"#ffffff";""
259;"A.S. HAUTMONT";500455;"#092669";"";""
260;"AM.LAIQ. DEVILLE MAROMME";500459;"#ffffff";"";""
261;"S.C. PRO PATRIA WINGLES";500460;"#dc143c";"#000000";""
262;"ET.S. BULLY LES MINES";500461;"#ffffff";"#092669";""
263;"U.S. FOUG";500465;"#092669";"#ffffff";""
264;"FERRIERES EN BRIE U.S. DOMAINE";500466;"#FFD41C";"#092669";""
265;"ET.S. DISTRICT D  ISBERGUES";500469;"#000000";"#ffffff";""
266;"C.S. BEAUCOURT";500470;"#dc143c";"#092669";""
267;"F.C. BRIONNE";500472;"";"";""
268;"ENT.S. COUTANCAISE";500476;"#ffffff";"";""
269;"ET. ST LAURENT LAMBEZELLEC";500477;"#000000";"#ffffff";""
270;"CHARLEVAL F.C.";500478;"#FF6A00 ";"#000000";""
271;"ST.A. EPINAL";500481;"#FFD41C";"#092669";""
272;"R.C. BOHAIN";500482;"#006400";"#dc143c";""
273;"PONTHIERRY U.S.";500483;"#dc143c";"#FFD41C";""
274;"U.S. JEUMONT";500485;"#dc143c";"";""
275;"U.S. ROUVROY";500487;"#006400";"";""
276;"A.C. PORT DE BOUC";500490;"#dc143c";"#ffffff";""
277;"U.S. AIGREFEUILLE";500491;"#006400";"#ffffff";""
278;"FRESNES A.A.S.";500494;"#092669";"#FFD41C";""
279;"U.S. VERVINS";500497;"#dc143c";"#000000";""
280;"S.C. LE CATEAU";500498;"#FFD41C";"#dc143c";""
281;"F.C. DIEUZE";500500;"#dc143c";"#ffffff";""
282;"U.S. GUISE";500502;"#dc143c";"#ffffff";""
283;"U.S. CREPY EN VALOIS";500503;"#FFD41C";"#092669";""
284;"U.S. ESTREES ST DENIS";500504;"#ffffff";"#000000";""
285;"AVT G. GRENAY";500505;"#dc143c";"#000000";""
286;"A.S. MAZARGUES";500508;"#FFD41C";"#092669";""
287;"C.S. VOLMERANGE LES MINES";500509;"#ffffff";"#dc143c";""
288;"U.S. ST THOMAS";500510;"#dc143c";"#092669";""
289;"L  ERNEENNE";500511;"#092669";"#ffffff";""
290;"LA PATRIOTE AGONAC";500519;"#092669";"#ffffff";""
291;"A.S. BRIGNOLAISE";500520;"";"";""
292;"C.S. AMIENS MONTIERES ETOUVIE";500524;"#FF6A00 ";"#000000";""
293;"A.S. BARLIN";500525;"#FFD41C";"#000000";""
294;"MONTDIDIER A.C.";500526;"#092669";"";""
295;"C.A. DE PONTARLIER";500527;"#092669";"";""
296;"U.S. RENAISSANCE PERTUISIENNE";500528;"#092669";"#ffffff";""
297;"DOURDAN SPORTS";500530;"#ffffff";"#dc143c";""
298;"U.S. BASSIN DE LONGWY";500532;"#FF6A00 ";"#092669";""
299;"U.S. LITTERAIRE MONT ST MARTIN";500535;"#092669";"#ffffff";""
300;"RETHEL SP.";500541;"";"";""
301;"VERNOLITAIN STADE";500542;"#FFD41C";"#000000";""
302;"VIMOUTIERS F.C.";500543;"#FFD41C";"#000000";""
303;"A.S. FAUVILLAISE";500544;"#ffffff";"#000000";""
304;"O.C. CHATEAUDUN";500551;"#092669";"#dc143c";""
305;"A.S. AUDINCOURT";500553;"#dc143c";"#ffffff";""
306;"A.S. ERSTEIN";500554;"#092669";"";""
307;"F.C. SENS";500555;"#ffffff";"";""
308;"QUINCY VOISINS F.C. U.S.";500559;"#006400";"#ffffff";""
309;"NANTERRE ENT.S.";500561;"#FFD41C";"#006400";""
310;"SURVILLIERS AVENIR";500565;"#dc143c";"#092669";""
311;"PARIS F.C.";500568;"";"";""
312;"ETAMPES F.C.";500570;"#dc143c";"#FFD41C";""
313;"SOISY SUR SEINE AS";500572;"#000000";"#006400";""
314;"CORMEILLAIS A.C.S.";500575;"#092669";"#dc143c";""
315;"FRANCONVILLE F.C.";500578;"#092669";"";""
316;"MENNECY C.S.";500582;"#FFD41C";"#000000";""
317;"LE PECQ U.S.";500585;"#dc143c";"#000000";""
318;"PONTAULT COMBAULT U. MULTI SP.";500589;"#FFD41C";"#092669";""
319;"MONTGERON E.S.";500592;"#FFD41C";"#092669";""
326;"RIS ORANGIS U.S.";500623;"#FFD41C";"#092669";""
327;"RAMBOUILLET YVELINES F.C.";500634;"#006400";"#ffffff";""
328;"VILLIERS S/MARNE ENT.S.";500636;"#dc143c";"";""
329;"VILLENEUVE LA GARENNE AM.";500638;"#ffffff";"#092669";""
330;"VAL YERRES CROSNE A.F.";500640;"#ffffff";"#dc143c";""
331;"PARIS 15EME O.";500643;"#4b0082";"#ffffff";""
332;"CLAYES SS/BOIS U.S. MUNICIPAL";500644;"#092669";"";""
333;"BALLANCOURT F.C.";500646;"#092669";"#dc143c";""
335;"EPONE U.S.B.S";500598;"#dc143c";"#ffffff";""
336;"F.C. MONTFORT L  AMAURY";500601;"#092669";"#dc143c";""
337;"ST CYR A.F.C.";500605;"#ffffff";"#006400";""
338;"BEAUCHAMP A.S.";500611;"#006400";"";""
339;"BRIARD S.C.";500615;"#dc143c";"#000000";""
340;"ST CLOUD F.C.";500622;"#092669";"#FFD41C";""
349;"VERSAILLES 78 F.C.";500650;"#092669";"#ffffff";""
350;"BOISSY F.C.";500651;"#FFD41C";"#092669";""
351;"LA COURNEUVE A.S.";500653;"#FFD41C";"#092669";""
352;"LIVRY GARGAN F.C.";500660;"#ffffff";"";""
353;"FERTOISE BOISSY LE CUTTE AIGLE";500668;"#dc143c";"#ffffff";""
354;"CHATELET EN BRIE U.S.";500677;"#dc143c";"#092669";""
355;"VIARMES ASNIERES OL.";500681;"#006400";"#ffffff";""
356;"PALAISEAU U.S.";500684;"#092669";"#ffffff";""
357;"MAGNY EN VEXIN F.C.";500686;"#dc143c";"";""
358;"CRETEIL LUSITANOS F. US";500689;"#092669";"#FFD41C";""
359;"MEUDON A.S.";500692;"#092669";"#dc143c";""
360;"DAMMARTIN C.S.";500693;"#092669";"#696969";""
361;"SARCELLES A.A.S.";500695;"#092669";"#FFD41C";""
362;"PARIS ALESIA F.C.";500699;"#ffffff";"#092669";""
363;"ISSY LES MOULINEAUX F.C";500706;"#092669";"";""
364;"NOISY LE SEC BANLIEUE 93 O.";500707;"#FFD41C";"#000000";""
365;"STE GENEVIEVE SPORTS";500710;"#dc143c";"#092669";""
366;"EZANVILLE ECOUEN U.S.";500712;"#ffffff";"#000000";""
367;"ESPERANCE PROVINS SOURDUN F.C.";500715;"#092669";"#dc143c";""
368;"HAY LES ROSES C.A.";500716;"#092669";"#ffffff";""
369;"NANGIS ESPE.S.";500718;"#006400";"#dc143c";""
370;"ARRIGHI A.S.";500723;"#006400";"#ffffff";""
371;"BRAYTOIS C.S.";500728;"#FFD41C";"#000000";""
372;"BREUILLET F.C.";500729;"#dc143c";"#006400";""
373;"MAULOISE U.S.";500731;"#092669";"#dc143c";""
374;"BAGNEUX C.O.MUNICIPAL";500732;"#dc143c";"#000000";""
375;"C.S. ANGERVILLE PUSSAY";500733;"#092669";"";""
376;"VALLEE 78 F.C.";500737;"#dc143c";"";""
377;"GIF SECTION FOOT O.C.";500743;"#FFD41C";"#000000";""
378;"SURESNES J.S.";500744;"#FFD41C";"#092669";""
379;"VANVES STADE";500748;"#dc143c";"";""
380;"CLUB OLYMPIQUE DE CACHAN C.O.C.";500752;"#092669";"";""
381;"A.C. AJACCIEN";500765;"#dc143c";"#ffffff";""
382;"FONTENAY TRESIGNY A.S.";500773;"#dc143c";"";""
383;"MEULAN C.N.";500776;"#ffffff";"#092669";""
384;"FERTE SS/JOUARRE A.S.M.";500777;"#ffffff";"#092669";""
385;"BRY F.C.";500791;"";"";""
386;"TRILPORT U.S.";500794;"#092669";"#ffffff";""
387;"NOISY LE GRAND F.C";500797;"#092669";"#ffffff";""
388;"NEUILLY PLAISANCE SP.";500798;"#092669";"#dc143c";""
389;"ETREPILLY U.S.";500813;"#092669";"#dc143c";""
390;"DIX SEPT TOURNANTS U.S.";500827;"#ffffff";"#092669";""
391;"ESPERANCE PARIS 19EME";500828;"#006400";"#ffffff";""
392;"CS MEAUX ACADEMY FOOTBALL";500831;"#092669";"";""
393;"SENART MOISSY";500832;"#092669";"#FFD41C";""
394;"U.S. HAM";500862;"#FFD41C";"#000000";""
395;"A.S. STE BARBE OIGNIES";500864;"#ffffff";"";""
396;"O. MARCQUOIS";500866;"#FFD41C";"#092669";""
397;"R.C. SAINS EN GOHELLE";500871;"#092669";"#ffffff";""
398;"STE EDUC.PHYS. BLANGY BOUTTENCOU";500872;"#ffffff";"";""
399;"U.S.MUNICIPALE MERVILLE";500873;"#dc143c";"#ffffff";""
400;"U.S. AUBERCHICOURT";500874;"#092669";"#dc143c";""
401;"S.C. MOREUIL";500876;"#ffffff";"#000000";""
402;"CLUB SPORTIF AVIONNAIS";500877;"#000000";"#ffffff";""
403;"MERS A.C.";500878;"#FF6A00 ";"#000000";""
404;"AM.C. NOYELLES GODAULT";500884;"#dc143c";"#000000";""
405;"E.S. CHEMINOTS LONGUEAU";500887;"#092669";"";""
406;"J. FRANCE MAZINGARBE";500888;"#FFD41C";"#000000";""
407;"U.S. DANNES";500891;"#ffffff";"#dc143c";""
408;"S.C. ANICHE";500892;"#FFD41C";"#000000";""
409;"A.S. MASNIERES";500893;"#006400";"";""
410;"ST. PORTELOIS";500894;"#092669";"";""
411;"A. ANC.ELEV. FEUQUIERES EN VIMEU";500895;"#092669";"";""
412;"AVT G. THUMERIES";500896;"#FFD41C";"#000000";""
413;"WASQUEHAL FOOTBALL";500899;"#000000";"#FFD41C";""
414;"ET.S. BOUSSOIS";500900;"#000000";"#FFD41C";""
415;"U.S. BIACHOISE";500902;"#dc143c";"#092669";""
416;"U.S. WALINCOURT SELVIGNY";500904;"#FFD41C";"#000000";""
